test_name                                                               Iter_num  testStaus  NumErrors  SimTime[ns]    seed   
pixie_fw_func_test_hws_basic.cfg                                           3         PASS        0       56089355  1002910069
pixie_fw_func_test_hws_rrt_b2b.cfg                                         3         PASS        0       7876349   2058111454
pixie_fw_func_test_fw_hws_net_full_with_mixutre_rrt_spu.cfg                3         PASS        0      197778182  1342003788
pixie_fw_func_test_fw_hws_rrt_mixture_even_spu.cfg                         3         PASS        0       14300616   65494735 
pixie_fw_func_test_hws_basic_branch.cfg                                    3         PASS        0       38876729  305318051 
pixie_fw_func_test_hws_rom_branch.cfg                                      3         PASS        0       16363005  686826722 
pixie_fw_func_test_fw_hws_sw_branch.cfg                                    3         PASS        0       1131457   638952953 
pixie_fw_func_test_fw_hws_net_sw_branch.cfg                                3         PASS        0       1292623   1117029155
pixie_fw_func_test_fw_sw_branch_B2B.cfg                                    3         PASS        0       2385512   324036596 
pixie_fw_func_test_hrr_mem.cfg                                             3         PASS        0       4557436   912644741 
pixie_e0_rtcc_b2b_test.cfg                                                 3         PASS        0       6866426   879931660 
pixie_e0_timer1_2_test.cfg                                                 3         PASS        0       41158906   25959102 
pixie_e0_timer3_test.cfg                                                   3         PASS        0       27523392  850939991 
pixie_e0_new_timer4_test.cfg                                               3         PASS        0      115584442  1471750824
pixie_e0_timer5_test.cfg                                                   3         PASS        0       17733889  1739608482
pixie_e0_timer6_test.cfg                                                   3         PASS        0       21376065  109270908 
pixie_e0_timer7_test.cfg                                                   3         PASS        0       25749587  382930402 
pixie_e2_rwdt10_timer7_test.cfg                                            3         PASS        0      680635824  151912972 
pixie_e0_timer7_short_test.cfg                                             3         PASS        0       9153491    70136372 
pixie_e0_vstart_trim_test.cfg                                              3         PASS        0       27391242  1109887011
pixie_e0_hws_nvm_exception_test.cfg                                        3         PASS        0       13365660  787905291 
pixie_e0_clk_div_test.cfg                                                  3         PASS        0      472001759  501313779 
pixie_e0_brownout_test.cfg                                                 3         PASS        0       27349411  1434366162
pixie_e0_rtc_trim_test.cfg                                                 3         PASS        0       36271557  658871319 
pixie_e0_envdet_clk_coarse_fine_test.cfg                                   3         PASS        0       10826365   77911036 
pixie_e0_active_trim_test.cfg                                              3         PASS        0       85595992  261119477 
pixie_e0_bpdo_test.cfg                                                     3         PASS        0       3784695   1408294206
pixie_e0_sw_bpdo_test.cfg                                                  3         PASS        0       4171841   2035814648
pixie_e2_sram_div_test.cfg                                                 3         PASS        0       3522628   687699641 
pixie_e4_rom_dcdc_trim_test.cfg                                            3         PASS        0      492853979  1390734075
pixie_e0_soft_power_off_test.cfg                                           3         PASS        0       14177691  1764439821
pixie_e0_soft_awdt_test.cfg                                                3         PASS        0       29193388  2089252325
pixie_e0_soft_awdt_test_max.cfg                                            0         FAIL        13     129502896      0     
pixie_e0_hard_awdt_test.cfg                                                3         PASS        0       20299851  103265096 
pixie_e0_force_hard_awdt_test.cfg                                          3         PASS        0       13306100  1990112333
pixie_e0_awdt_counter_test.cfg                                             3         PASS        0       24726390   46946788 
pixie_e0_basic_wu_test.cfg                                                 1         FAIL        1       32549479   20736167 
pixie_e0_random_hws_rgu_test.cfg                                           3         PASS        0       18237203  2131103995
pixie_e0_active_wu_test_spu.cfg                                            3         PASS        0       10398749  1181036397
pixie_e0_active_wu_test_mcu.cfg                                            3         PASS        0       10660224  527174106 
pixie_e0_short_wu_test.cfg                                                 3         PASS        0       4805413   1174987709
pixie_e0_basic_cond_wu_test.cfg                                            3         PASS        0       86241742  2027723727
pixie_e0_basic_cond_wu_state1_test.cfg                                     3         PASS        0       43782927  240423924 
pixie_e0_basic_cont_wu_test.cfg                                            3         PASS        0      273924794  799661133 
pixie_e0_basic_cont_wu_timer_test.cfg                                      0         FAIL        30     237986599      0     
pixie_e0_basic_cont_wu_test_no_sweep.cfg                                   3         PASS        0       14354904  1372457977
pixie_e0_basic_cont_count_test.cfg                                         3         PASS        0      542979094  1834257518
pixie_e0_basic_hop_wu_test.cfg                                             3         PASS        0       16480872  223207563 
pixie_e0_basic_sweep_wu_test.cfg                                           3         PASS        0       37713955  198355733 
pixie_e0_batt_mode_test.cfg                                                3         PASS        0       7632574   867734203 
pixie_e0_hpm_test.cfg                                                      3         PASS        0       8949682   2060802055
pixie_e2_hpm_radio_test.cfg                                                3         PASS        0       68726555  730345278 
pixie_e2_hpm_rwdt_10_test.cfg                                              3         PASS        0      417384249  1814733291
pixie_e2_rwdt_00_test.cfg                                                  3         PASS        0      381163621  792281961 
pixie_e2_rwdt_00_wu_no_nrg_test.cfg                                        3         PASS        0      716048115  1293715665
